ParticipantID,Trial,Saccade,Direction,Amplitude,Duration,PeakVelocity,MeanVelocity,Blink,StartTime,EndTime,StartX,StartY,EndX,EndY,StartYClean,EndYClean,Task,ParticipantGender,SearchOrder
1_1_f1,3,29,RIGHT,0.57,11,39.39,51.47,false,5795,5805,1265.4,878.5,1297.9,879.5,202.5,201.5,VisualSearch,female,1
1_1_f1,3,30,DOWN,2.33,25,148.22,93.36,false,5890,5914,1274.5,877.9,1350.5,964.2,203.10000000000002,116.79999999999995,VisualSearch,female,1
1_1_f1,3,31,LEFT,12.34,194,437.27,63.63,false,6646,6839,1357.4,954.8,679.5,793.5,126.20000000000005,287.5,VisualSearch,female,1
1_1_f1,3,32,LEFT,2.56,104,185.46,24.65,false,6881,6984,691.3,791.5,580.4,864.2,289.5,216.79999999999995,VisualSearch,female,1
1_1_f1,3,33,DOWN,1.02,15,72.74,68.13,false,7079,7093,543.3,863.9,574.7,902.2,217.10000000000002,178.79999999999995,VisualSearch,female,1
1_1_f1,3,34,.,0.23,6,21.68,38.7,false,7206,7211,542.3,908.9,555.2,905.9,172.10000000000002,175.10000000000002,VisualSearch,female,1
1_1_f1,3,35,LEFT,0.58,32,39.95,18.21,false,7277,7308,576.7,908.2,543,910.2,172.79999999999995,170.79999999999995,VisualSearch,female,1
1_1_f1,3,36,RIGHT,8.4,54,437.09,155.49,false,7518,7571,584.1,907,1058.7,846.4,174,234.60000000000002,VisualSearch,female,1
1_1_f1,3,37,.,0.46,9,28.44,51.16,false,7689,7697,1039,856,1064.5,851.7,225,229.29999999999995,VisualSearch,female,1
1_1_f1,3,38,UP,3.73,29,201.05,128.61,false,7798,7826,1046,871.8,1183.1,749.5,209.20000000000005,331.5,VisualSearch,female,1
1_1_f1,3,39,RIGHT,0.68,17,45.77,39.9,false,8078,8094,1173.5,736.1,1201.7,716.9,344.9,364.1,VisualSearch,female,1
1_1_f1,3,40,DOWN,2.16,24,140.95,90.19,false,8298,8321,1194.6,729.3,1128,806.7,351.70000000000005,274.29999999999995,VisualSearch,female,1
1_1_f1,3,41,LEFT,9.88,80,325.25,123.51,false,8603,8682,1122.2,804.5,569.1,744.4,276.5,336.6,VisualSearch,female,1
1_1_f1,3,42,.,0.48,23,49.19,20.89,false,8730,8752,578.7,741.8,603.4,733.3,339.20000000000005,347.70000000000005,VisualSearch,female,1
1_1_f1,3,43,RIGHT,0.98,83,77.66,11.78,false,8939,9021,590.8,722.2,645.3,728.3,358.79999999999995,352.70000000000005,VisualSearch,female,1
1_1_f1,3,44,LEFT,5.52,67,278.39,82.43,false,9099,9165,633.3,733,332.8,664,348,417,VisualSearch,female,1
1_1_f1,3,45,.,0.34,22,73.85,15.56,false,9191,9212,317.7,669.7,333,660.6,411.29999999999995,420.4,VisualSearch,female,1
1_1_f1,3,46,DOWN,1.79,246,205.71,7.27,false,9244,9489,334,661,381.7,728.3,420,352.70000000000005,VisualSearch,female,1
1_1_f1,3,47,LEFT,0.59,90,53.86,6.57,false,9607,9696,404.4,727.3,370.4,726.8,353.70000000000005,354.20000000000005,VisualSearch,female,1
1_1_f1,3,48,LEFT,0.55,44,38.2,12.53,false,9858,9901,373.7,731.8,342.3,735.7,349.20000000000005,345.29999999999995,VisualSearch,female,1
1_1_f1,3,49,.,0.14,5,27.39,27.96,false,10070,10074,351,722.2,357,726.2,358.79999999999995,354.79999999999995,VisualSearch,female,1
1_1_f1,3,50,UP,9.87,85,387.47,116.07,false,10139,10223,367.9,715.3,607.1,349.7,365.70000000000005,731.3,VisualSearch,female,1
1_1_f1,3,51,.,0.26,50,45.02,5.12,false,10305,10354,626.5,348.1,621.4,338.7,732.9,742.3,VisualSearch,female,1
1_1_f1,3,52,LEFT,5.89,48,309.37,122.76,false,10446,10493,615.4,346.1,312.4,434.9,734.9,646.1,VisualSearch,female,1
1_1_f1,3,53,.,0.17,20,50.98,8.45,false,10537,10556,335.5,426.8,342.4,422.1,654.2,658.9,VisualSearch,female,1
1_1_f1,3,54,DOWN,3.47,84,278.15,41.32,false,10630,10713,334.9,429.7,465.3,534.6,651.3,546.4,VisualSearch,female,1
1_1_f1,3,55,.,0.38,37,39.97,10.2,false,10797,10833,469.1,527.8,454.3,538.8,553.2,542.2,VisualSearch,female,1
1_1_f1,3,56,UP,5.43,108,230.3,50.27,false,10858,10965,473.3,528.6,396.8,316.9,552.4,764.1,VisualSearch,female,1
1_1_f1,3,57,.,0.1,30,86.31,3.47,false,11093,11122,400.9,316,398.6,319.8,765,761.2,VisualSearch,female,1
1_1_f1,3,58,.,0.23,43,35.59,5.29,false,11164,11206,391.8,322.1,398.2,314.3,758.9,766.7,VisualSearch,female,1
1_1_f1,4,1,RIGHT,9.79,60,444.82,163.22,false,159,218,464,322.4,990.5,265.9,758.6,815.1,VisualSearch,female,1
1_1_f1,4,2,.,0.25,36,35.27,7,false,443,478,993.6,260.6,999.3,269.5,820.4,811.5,VisualSearch,female,1
1_1_f1,4,3,DOWN,4.74,50,278.63,94.76,false,557,606,1003.2,266.5,1012.2,453.3,814.5,627.7,VisualSearch,female,1
1_1_f1,4,4,RIGHT,9.58,44,403.84,217.73,false,705,748,1004.9,466,1371.4,197.2,615,883.8,VisualSearch,female,1
1_1_f1,4,5,RIGHT,6.3,38,300.53,165.69,false,969,1006,1346.3,179.3,1686.5,235.1,901.7,845.9,VisualSearch,female,1
1_1_f1,4,6,LEFT,7.65,60,346,127.55,false,1190,1249,1667.9,238.4,1263.6,151,842.6,930,VisualSearch,female,1
1_1_f1,4,7,RIGHT,3.01,25,180.44,120.49,false,1462,1486,1252,142.2,1407.3,178.8,938.8,902.2,VisualSearch,female,1
1_1_f1,4,8,RIGHT,2.87,27,159.36,106.2,false,1691,1717,1389.4,181,1530.6,231,900,850,VisualSearch,female,1
1_1_f1,4,9,LEFT,7.08,49,333.2,144.48,false,1895,1943,1520.8,226,1175.9,353,855,728,VisualSearch,female,1
1_1_f1,4,10,DOWN,7.11,54,377.51,131.65,false,2126,2179,1152.5,348.3,925.5,579.1,732.7,501.9,VisualSearch,female,1
1_1_f1,4,11,LEFT,7.25,56,352.46,129.53,false,2399,2454,922.3,572.1,608.5,762.9,508.9,318.1,VisualSearch,female,1
1_1_f1,4,12,RIGHT,8.69,43,400.73,202.06,false,2624,2666,593.9,772.8,1071,870.3,308.20000000000005,210.70000000000005,VisualSearch,female,1
1_1_f1,4,13,RIGHT,4.53,28,263.44,161.77,false,3027,3054,1050.5,869.4,1278.3,967.5,211.60000000000002,113.5,VisualSearch,female,1
1_1_f1,4,14,RIGHT,8.63,45,330.5,191.76,false,3236,3280,1269.1,954.8,1764,859.9,126.20000000000005,221.10000000000002,VisualSearch,female,1
1_1_f1,4,15,UP,2.74,25,148.67,109.66,false,3510,3534,1742.8,841,1731.1,721.1,240,359.9,VisualSearch,female,1
1_1_f1,4,16,UP,12.64,48,395.79,263.25,false,3664,3711,1726,694.4,1554,188.8,386.6,892.2,VisualSearch,female,1
1_2_f,1,1,DOWN,3.11,204,949.94,15.22,true,636,839,1020.3,480.7,958.9,597.8,600.3,483.20000000000005,SocialEngagement,female,NA
1_2_f,1,2,DOWN,5.65,50,328.47,113.02,false,1870,1919,1000.2,511,909.3,733.7,570,347.29999999999995,SocialEngagement,female,NA
1_2_f,1,3,RIGHT,1.66,21,104.67,79.27,false,2165,2185,906.6,745.3,993.8,721.1,335.70000000000005,359.9,SocialEngagement,female,NA
1_2_f,1,4,UP,4.53,50,251.72,90.68,false,2371,2420,986.1,721.7,991.1,534.7,359.29999999999995,546.3,SocialEngagement,female,NA
1_2_f,1,5,DOWN,4.3,47,317.2,91.48,false,4748,4794,991.4,486.8,1003.2,662,594.2,419,SocialEngagement,female,NA
1_2_f,1,6,.,0.49,10,38.1,48.78,false,4941,4950,999.8,687.7,992.8,668.1,393.29999999999995,412.9,SocialEngagement,female,NA
1_2_f,1,7,UP,3.85,49,207.77,78.63,false,5899,5947,987.6,645.7,989.3,488.9,435.29999999999995,592.1,SocialEngagement,female,NA
1_2_f,1,8,.,0.4,10,32.99,40.09,false,6091,6100,989,472,982.4,487.3,609,593.7,SocialEngagement,female,NA
1_2_f,1,9,DOWN,0.74,17,57.97,43.71,false,7845,7861,974.3,464.4,964.3,493.2,616.6,587.8,SocialEngagement,female,NA
1_2_f,2,1,UP,1.12,17,72.34,65.66,false,470,486,1018.1,517.1,986.8,478.7,563.9,602.3,SocialEngagement,female,NA
1_2_f,2,2,DOWN,3.37,47,230.68,71.67,false,1104,1150,975.4,484.7,981.9,621.2,596.3,459.79999999999995,SocialEngagement,female,NA
1_2_f,2,3,DOWN,0.53,18,48.02,29.5,false,1921,1938,986.1,633.7,975,654,447.29999999999995,427,SocialEngagement,female,NA
1_2_f,2,4,UP,4.04,52,211.32,77.66,false,2108,2159,978.7,655.3,984.4,490.8,425.70000000000005,590.2,SocialEngagement,female,NA
1_2_f,2,5,DOWN,0.52,20,58.2,26.05,false,2333,2352,993.3,473.2,996.9,493.9,607.8,587.1,SocialEngagement,female,NA
1_2_f,2,6,DOWN,4.55,52,292.74,87.54,false,2647,2698,996.6,496.7,1003.7,682.8,584.3,398.20000000000005,SocialEngagement,female,NA
1_2_f,2,7,UP,0.53,9,46.73,58.84,false,2793,2801,1002.5,706.2,995.5,684.7,374.79999999999995,396.29999999999995,SocialEngagement,female,NA
1_2_f,2,8,UP,4.3,51,203.3,84.39,false,5192,5242,989.6,680.9,980.3,504.8,400.1,576.2,SocialEngagement,female,NA
1_2_f,3,1,UP,1.26,18,73.36,70.26,false,447,464,1018.3,537.5,992.5,490.3,543.5,590.7,SocialEngagement,female,NA
1_2_f,3,2,.,0.44,10,35.87,43.95,false,1726,1735,972.3,492.8,972.6,475.2,588.2,605.8,SocialEngagement,female,NA
1_2_f,3,3,DOWN,3.05,46,256.84,66.25,false,2366,2411,966.7,486.2,920.4,604.9,594.8,476.1,SocialEngagement,female,NA
1_2_f,3,4,DOWN,0.51,10,41.38,51.07,false,2960,2969,890.8,612.6,907.1,629.7,468.4,451.29999999999995,SocialEngagement,female,NA
